Category,GeneID,"logFC nano urea 
12h ","logFC nano urea 
7 days","logFC urea 
12h ","logFC urea 
7 days"
Chlorophyll metabolism,AT4G26150,0,0,-1.12,0
Chlorophyll metabolism,AT4G22920,0,0,0,-1.19
Chlorophyll metabolism,AT1G56200,0,1.23,0,0
Chlorophyll metabolism,AT4G16690,0,1.85,0,0
Chlorophyll metabolism,AT5G63570,0,1.15,0,0
Chlorophyll metabolism,AT1G69740,0,1.08,0,0
Chlorophyll metabolism,AT4G01690,0,1.14,0,0
Chlorophyll metabolism,AT2G41680,0,1.52,0,0
Chlorophyll metabolism,AT4G27440,0,1.65,0,2.14
Chlorophyll metabolism,AT5G54190,,3.93,,3.42
Chlorophyll metabolism,AT2G20890,0,1.45,0,1.08
Chlorophyll metabolism,AT5G38520,0,1.58,0,1.27
Chlorophyll metabolism,AT4G14690,,3.94,,1.29
Chlorophyll metabolism,AT1G03630,0,1.46,0,1.41
Chlorophyll metabolism,AT5G45930,0,1.79,0,1.56
Chlorophyll metabolism,AT4G25080,0,1.93,0,1.53
Chlorophyll metabolism,AT5G13630,0,1.76,0,1.35
Chlorophyll metabolism,AT1G74470,0,1.61,0,1.39
Chlorophyll metabolism,AT1G03475,0,1.48,0,1.14
Chlorophyll metabolism,AT3G14110,0,1.34,0,1.1
Chlorophyll metabolism,AT5G58250,0,1.83,0,1.62
Chlorophyll metabolism,AT3G56940,0,1.7,0,1.37
Chlorophyll metabolism,AT4G17600,0,1.67,0,1.28
Chlorophyll metabolism,AT3G51820,0,1.51,0,1.01
Chlorophyll metabolism,AT3G48730,0,1.79,0,1.62
Chlorophyll metabolism,AT1G08520,0,1.56,0,1.16
Chlorophyll metabolism,AT5G18660,0,2.38,0,1.98
Chlorophyll metabolism,AT2G40490,0,1.97,0,1.59
Chlorophyll metabolism,AT3G14930,0,2.03,0,1.5
Chlorophyll metabolism,AT4G18480,0,2.48,0,1.97
Chlorophyll metabolism,AT3G03470,0,-1.21,0,0
Chlorophyll metabolism,AT4G11910,0,-2.14,0,-1.93
Chlorophyll metabolism,AT5G13800,0,-1.36,0,-1.35
Chlorophyll metabolism,AT3G22840,0,-1.25,1.64,-1.4
Chlorophyll metabolism,AT1G58290,-1.97,1.82,0,1.42
Nitrogen metabolism,AT5G21170,0,0,-1.01,0
Nitrogen metabolism,AT5G27420,0,0,0,-1.22
Nitrogen metabolism,AT4G26150,0,0,-1.12,0
Nitrogen metabolism,AT5G22300,0,0,0,-1.03
Nitrogen metabolism,AT1G72140,0,0,0,1.21
Nitrogen metabolism,AT1G52190,0,0,0,1.08
Nitrogen metabolism,AT3G30775,0,0,0,1
Nitrogen metabolism,AT2G02010,1.21,0,0,0
Nitrogen metabolism,AT4G31730,1.84,0,0,0
Nitrogen metabolism,AT2G37690,1.2,0,0,0
Nitrogen metabolism,AT5G62980,0,1.1,0,0
Nitrogen metabolism,AT1G79470,1.3,0,0,0
Nitrogen metabolism,AT5G11160,0,1.2,0,0
Nitrogen metabolism,AT1G31860,0,1,0,0
Nitrogen metabolism,AT1G03090,0,1,0,0
Nitrogen metabolism,AT1G72330,0,1.6,0,0
Nitrogen metabolism,AT2G04400,0,1.1,0,0
Nitrogen metabolism,AT3G07800,0,1.4,0,0
Nitrogen metabolism,AT1G31180,0,1.1,0,0
Nitrogen metabolism,AT3G23940,0,1.2,0,0
Nitrogen metabolism,AT5G17990,0,1.3,0,0
Nitrogen metabolism,AT3G58610,0,1.1,0,0
Nitrogen metabolism,AT3G48560,0,1,0,0
Nitrogen metabolism,AT2G35040,0,1.2,0,0
Nitrogen metabolism,AT4G20960,0,1,0,0
Nitrogen metabolism,AT5G63570,0,1.2,0,0
Nitrogen metabolism,AT1G80560,0,1.1,0,0
Nitrogen metabolism,AT5G16290,0,1.2,0,0
Nitrogen metabolism,AT3G10050,0,1,0,0
Nitrogen metabolism,AT2G37500,0,1,0,0
Nitrogen metabolism,AT4G34740,0,1.17,0,0
Nitrogen metabolism,AT1G17290,0,1.1,0,0
Nitrogen metabolism,AT4G19710,0,1.3,0,0
Nitrogen metabolism,AT1G29290,1.15,,0,
Nitrogen metabolism,AT5G38200,4.13,,0,
Nitrogen metabolism,AT5G65010,0,1.2,-1.1,0
Nitrogen metabolism,AT1G15040,0,3.47,0,2.93
Nitrogen metabolism,AT5G57890,0,1.5,0,1.2
Nitrogen metabolism,AT3G62950,0,3.7,0,3.17
Nitrogen metabolism,AT3G11750,0,1.8,0,1.3
Nitrogen metabolism,AT5G59750,0,2,0,1.3
Nitrogen metabolism,AT3G25660,0,1.33,0,1.02
Nitrogen metabolism,AT5G35630,0,1.5,0,1.12
Nitrogen metabolism,AT5G48220,0,1.4,0,1.2
Nitrogen metabolism,AT1G30820,0,1.51,0,1.71
Nitrogen metabolism,AT5G35220,0,1.42,0,1.13
Nitrogen metabolism,AT5G62530,0,1.8,0,1.3
Nitrogen metabolism,AT5G08280,0,2,0,1.6
Nitrogen metabolism,AT3G48730,0,1.8,0,1.6
Nitrogen metabolism,AT3G47340,0,3.9,-2.1,4
Nitrogen metabolism,AT4G18440,2,0,1.7,1.3
Nitrogen metabolism,AT2G26400,1.8,3.7,1.1,0
Nitrogen metabolism,AT3G62930,1.26,2.61,0,2.06
Nitrogen metabolism,AT2G30660,2.6,2,1.9,2.2
Nitrogen metabolism,AT2G39510,2.55,1.73,1.47,2.67
Nitrogen metabolism,AT3G24360,,-1.3,,0
Nitrogen metabolism,AT1G78050,0,-1.48,0,0
Nitrogen metabolism,AT1G08090,0,-1.13,0,0
Nitrogen metabolism,AT5G10240,0,-1,0,0
Nitrogen metabolism,AT5G50200,0,-1.68,0,0
Nitrogen metabolism,AT3G54140,0,-1.19,0,0
Nitrogen metabolism,AT5G22630,0,-1.1,0,0
Nitrogen metabolism,AT2G34470,0,-1.11,0,0
Nitrogen metabolism,AT1G20640,0,-1.07,0,0
Nitrogen metabolism,AT3G24300,0,-1.74,0,0
Nitrogen metabolism,AT2G03590,0,-1.18,0,0
Nitrogen metabolism,AT3G45710,0,-1.54,0,0
Nitrogen metabolism,AT5G60780,-1.28,,0,
Nitrogen metabolism,AT1G77760,-1.49,0,-1.95,0
Nitrogen metabolism,AT5G37600,0,-1.46,0,-1.09
Nitrogen metabolism,AT5G54080,0,-1.1,0,-1
Nitrogen metabolism,AT1G15410,0,-1.36,0,-1.15
Nitrogen metabolism,AT5G49630,0,-1.58,0,-1.09
Nitrogen metabolism,AT3G45640,0,-1.15,0,-1.2
Nitrogen metabolism,AT1G18880,0,-1.79,0,-1.21
Nitrogen metabolism,AT1G76350,0,-1.43,0,-1.1
Nitrogen metabolism,AT2G41220,0,-2,0,-1.2
Nitrogen metabolism,AT3G45060,-2.73,,-3.45,
Nitrogen metabolism,AT3G44300,-1.84,0,-2.86,-1.04
Nitrogen metabolism,AT2G39800,-1.2,1.8,0,1.4
Nitrogen metabolism,AT1G58290,-2,1.8,0,1.4
Nitrogen metabolism,AT5G61350,-1.18,-1.35,0,0
Nitrogen metabolism,AT1G08100,-2.66,-6.12,0,0
Nitrogen metabolism,AT5G60770,-1.98,-2.27,0,0
Nitrogen metabolism,AT4G21680,-1.75,-2.07,0,-2.39
Nitrogen metabolism,AT3G24290,-3.89,-3.9,0,-1.08
Nitrogen metabolism,AT1G12940,-2.23,-5.25,0,-3.2
Nitrogen metabolism,AT5G16570,-1.73,-3.81,0,-2.23
Nitrogen metabolism,AT5G45380,-2.22,-2.93,0,-1.74
Aquaporins,AT4G17340,-1.2,0,0,0
